ID,이디야,스타벅스,커피빈,빽다방,커피지수,y,x
가평,9,2.0,0.0,0.0,0.2222222222222222,3.0,7.0
강릉,15,5.0,0.0,2.0,0.29411764705882354,3.0,11.0
강진,1,0.0,0.0,0.0,0.0,24.0,1.0
거제,9,6.0,0.0,0.0,0.6666666666666666,22.0,8.0
거창,1,0.0,0.0,1.0,0.0,16.0,6.0
경산,9,8.0,0.0,4.0,0.6153846153846154,12.0,11.0
경주,25,8.0,2.0,1.0,0.38461538461538464,12.0,12.0
고령,1,1.0,0.0,0.0,1.0,13.0,9.0
고성(경남),1,0.0,0.0,2.0,0.0,22.0,7.0
고양 덕양,18,15.0,1.0,8.0,0.6153846153846154,3.0,4.0
고양 일산동,12,11.0,5.0,6.0,0.8888888888888888,2.0,4.0
고양 일산서,12,15.0,5.0,2.0,1.4285714285714286,3.0,3.0
고창,1,1.0,0.0,1.0,0.5,18.0,1.0
고흥,3,0.0,0.0,0.0,0.0,22.0,5.0
곡성,1,0.0,0.0,0.0,0.0,21.0,3.0
공주,5,2.0,0.0,1.0,0.3333333333333333,12.0,4.0
과천,2,3.0,0.0,0.0,1.5,8.0,6.0
광명,7,10.0,1.0,2.0,1.2222222222222223,4.0,3.0
광양,9,2.0,0.0,1.0,0.2,21.0,5.0
광주,14,5.0,0.0,4.0,0.2777777777777778,7.0,9.0
광주 광산,20,13.0,0.0,2.0,0.5909090909090909,21.0,2.0
광주 남구,8,11.0,2.0,1.0,1.4444444444444444,23.0,2.0
광주 동구,4,9.0,1.0,4.0,1.25,23.0,3.0
광주 북구,14,11.0,0.0,3.0,0.6470588235294118,22.0,3.0
광주 서구,14,12.0,2.0,2.0,0.875,22.0,2.0
괴산,2,0.0,0.0,0.0,0.0,12.0,8.0
구례,1,0.0,0.0,0.0,0.0,20.0,4.0
구리,9,3.0,0.0,3.0,0.25,3.0,8.0
구미,15,10.0,1.0,5.0,0.55,10.0,10.0
군산,8,4.0,0.0,1.0,0.4444444444444444,16.0,2.0
군포,8,5.0,2.0,9.0,0.4117647058823529,9.0,4.0
금산,1,0.0,1.0,0.0,1.0,15.0,3.0
김제,1,0.0,0.0,1.0,0.0,17.0,3.0
김천,3,2.0,0.0,0.0,0.6666666666666666,11.0,9.0
김포,22,14.0,2.0,13.0,0.45714285714285713,4.0,2.0
김해,32,12.0,1.0,3.0,0.37142857142857144,20.0,9.0
나주,5,1.0,0.0,0.0,0.2,22.0,1.0
남양주,44,12.0,1.0,5.0,0.2653061224489796,2.0,7.0
남원,1,0.0,0.0,1.0,0.0,18.0,5.0
남해,1,0.0,0.0,0.0,0.0,22.0,6.0
논산,2,2.0,0.0,1.0,0.6666666666666666,14.0,3.0
단양,1,0.0,0.0,0.0,0.0,11.0,7.0
담양,1,0.0,0.0,0.0,0.0,20.0,2.0
당진,7,3.0,0.0,3.0,0.3,12.0,1.0
대구 남구,6,3.0,0.0,0.0,0.5,15.0,9.0
대구 달서,14,18.0,0.0,7.0,0.8571428571428571,16.0,8.0
대구 달성,9,4.0,0.0,3.0,0.3333333333333333,16.0,9.0
대구 동구,8,8.0,0.0,2.0,0.8,15.0,10.0
대구 북구,9,6.0,0.0,4.0,0.46153846153846156,14.0,8.0
대구 서구,2,2.0,0.0,1.0,0.6666666666666666,15.0,8.0
대구 수성,9,21.0,2.0,3.0,1.9166666666666667,14.0,10.0
대구 중구,7,8.0,3.0,3.0,1.1,14.0,9.0
대전 대덕,3,5.0,0.0,2.0,1.0,13.0,5.0
대전 동구,2,4.0,0.0,4.0,0.6666666666666666,14.0,5.0
대전 서구,14,24.0,1.0,14.0,0.8928571428571429,16.0,4.0
대전 유성,13,12.0,1.0,8.0,0.6190476190476191,15.0,4.0
대전 중구,3,5.0,0.0,7.0,0.5,15.0,5.0
동두천,2,3.0,0.0,1.0,1.0,1.0,4.0
동해,1,1.0,1.0,1.0,1.0,4.0,11.0
목포,11,5.0,0.0,9.0,0.25,22.0,0.0
무안,4,1.0,0.0,2.0,0.16666666666666666,21.0,1.0
무주,1,0.0,0.0,0.0,0.0,16.0,5.0
문경,4,1.0,0.0,1.0,0.2,8.0,10.0
밀양,6,3.0,0.0,0.0,0.5,17.0,8.0
보령,1,1.0,0.0,1.0,0.5,13.0,2.0
보은,1,1.0,0.0,0.0,1.0,13.0,8.0
부산 강서,7,3.0,1.0,0.0,0.5714285714285714,18.0,8.0
부산 금정,8,8.0,0.0,1.0,0.8888888888888888,16.0,10.0
부산 기장,5,4.0,1.0,0.0,1.0,16.0,12.0
부산 남구,13,6.0,0.0,1.0,0.42857142857142855,19.0,11.0
부산 동구,2,5.0,1.0,0.0,3.0,18.0,10.0
부산 동래,13,5.0,0.0,1.0,0.35714285714285715,16.0,11.0
부산 부산진,13,19.0,1.0,3.0,1.25,17.0,10.0
부산 북구,8,3.0,1.0,3.0,0.36363636363636365,17.0,9.0
부산 사상,4,3.0,0.0,0.0,0.75,18.0,9.0
부산 사하,8,8.0,0.0,1.0,0.8888888888888888,19.0,10.0
부산 서구,3,2.0,0.0,0.0,0.6666666666666666,19.0,9.0
부산 수영,5,6.0,1.0,0.0,1.4,20.0,11.0
부산 연제,9,6.0,0.0,0.0,0.6666666666666666,17.0,11.0
부산 영도,2,1.0,0.0,0.0,0.5,20.0,10.0
부산 중구,5,8.0,3.0,3.0,1.375,18.0,11.0
부산 해운대,8,33.0,4.0,2.0,3.7,17.0,12.0
부안,4,1.0,0.0,1.0,0.2,17.0,2.0
부여,2,0.0,0.0,0.0,0.0,14.0,2.0
부천,29,17.0,6.0,11.0,0.575,5.0,2.0
사천,3,2.0,0.0,0.0,0.6666666666666666,21.0,6.0
산청,1,1.0,0.0,0.0,1.0,19.0,5.0
삼척,4,0.0,0.0,1.0,0.0,5.0,11.0
상주,2,0.0,1.0,0.0,0.5,11.0,8.0
서귀포,7,11.0,0.0,8.0,0.7333333333333333,26.0,5.0
서산,9,4.0,0.0,1.0,0.4,13.0,1.0
서울 강남,27,79.0,47.0,9.0,3.5,7.0,7.0
서울 강동,13,13.0,7.0,8.0,0.9523809523809523,5.0,8.0
서울 강북,10,5.0,1.0,3.0,0.46153846153846156,3.0,5.0
서울 강서,37,17.0,5.0,8.0,0.4888888888888889,5.0,4.0
서울 관악,23,11.0,2.0,7.0,0.43333333333333335,8.0,5.0
서울 광진,12,18.0,3.0,6.0,1.1666666666666667,6.0,7.0
서울 구로,20,9.0,2.0,6.0,0.4230769230769231,8.0,4.0
서울 금천,16,11.0,2.0,1.0,0.7647058823529411,7.0,4.0
서울 노원,19,12.0,2.0,6.0,0.56,2.0,6.0
서울 도봉,9,2.0,0.0,3.0,0.16666666666666666,2.0,5.0
서울 동대문,17,8.0,3.0,4.0,0.5238095238095238,4.0,7.0
서울 동작,10,11.0,1.0,4.0,0.8571428571428571,6.0,5.0
서울 마포,24,27.0,8.0,6.0,1.1666666666666667,5.0,5.0
서울 서대문,11,19.0,5.0,3.0,1.7142857142857142,4.0,5.0
서울 서초,18,42.0,26.0,4.0,3.090909090909091,7.0,6.0
서울 성동,13,6.0,2.0,7.0,0.4,5.0,7.0
서울 성북,19,15.0,3.0,7.0,0.6923076923076923,3.0,6.0
서울 송파,32,33.0,8.0,8.0,1.025,6.0,8.0
서울 양천,16,12.0,4.0,0.0,1.0,6.0,4.0
서울 영등포,21,28.0,10.0,5.0,1.4615384615384615,7.0,5.0
서울 용산,12,22.0,4.0,4.0,1.625,6.0,6.0
서울 은평,18,8.0,2.0,6.0,0.4166666666666667,4.0,4.0
서울 종로,13,31.0,13.0,3.0,2.75,4.0,6.0
서울 중구,17,43.0,8.0,5.0,2.3181818181818183,5.0,6.0
서울 중랑,13,7.0,1.0,4.0,0.47058823529411764,4.0,8.0
서천,2,2.0,0.0,0.0,1.0,15.0,2.0
성남 분당,16,45.0,7.0,11.0,1.9259259259259258,8.0,7.0
성남 수정,11,3.0,1.0,6.0,0.23529411764705882,8.0,8.0
성남 중원,8,2.0,1.0,4.0,0.25,7.0,8.0
성주,1,0.0,0.0,0.0,0.0,13.0,11.0
세종,19,10.0,0.0,5.0,0.4166666666666667,13.0,4.0
속초,9,4.0,0.0,0.0,0.4444444444444444,1.0,10.0
수원 권선,11,7.0,1.0,4.0,0.5333333333333333,9.0,6.0
수원 영통,18,13.0,3.0,4.0,0.7272727272727273,9.0,7.0
수원 장안,4,4.0,2.0,3.0,0.8571428571428571,10.0,6.0
수원 팔달,8,8.0,2.0,3.0,0.9090909090909091,10.0,5.0
순창,1,0.0,0.0,0.0,0.0,20.0,3.0
순천,17,6.0,0.0,3.0,0.3,22.0,4.0
